Manufacturer,QTY,% of Total
Acura,4,0.01%
Alfa Romeo,102,0.19%
Audi,944,1.79%
Azure Dynamics,2,0.00%
BAODIAO LOCOMOTIVE CO LTD,1,0.00%
Bentley,4,0.01%
Blue Bird,1,0.00%
BMW,2425,4.60%
BMW.,1,0.00%
BRAMMO,1,0.00%
byd,1,0.00%
Cadillac,173,0.33%
Chevrolet,2605,4.94%
Chrysler,550,1.04%
Dodge,83,0.16%
Ferrari,7,0.01%
Fiat,32,0.06%
Fisker,4,0.01%
Fisker Inc.,94,0.18%
Ford,2481,4.71%
FOREST RIVER VAN,3,0.01%
Genesis,186,0.35%
GMC,52,0.10%
Greenpower Motors,1,0.00%
Harley-davidson,11,0.02%
Honda,365,0.69%
Hyundai,2783,5.28%
Ic Corporation,10,0.02%
Jaguar,59,0.11%
Jeep,4545,8.63%
Kalmar,4,0.01%
KIA,2219,4.21%
Land,2,0.00%
Land Rover,52,0.10%
Lexus,256,0.49%
Lincoln,116,0.22%
Livewire,7,0.01%
LUCID,1,0.00%
Lucid Motors,126,0.24%
Mazda,254,0.48%
Mclaren,3,0.01%
Mercedes Benz,1,0.00%
Mercedes-benz,592,1.12%
Mini,238,0.45%
Mitsubishi,308,0.58%
Nissan,984,1.87%
Piaggio,1,0.00%
Polestar,339,0.64%
Porsche,607,1.15%
Proterra,5,0.01%
RIMAC,2,0.00%
Rivian,958,1.82%
Rolls-royce,2,0.00%
Smart,20,0.04%
SNDOR,2,0.00%
SONDORS,10,0.02%
Subaru,493,0.94%
SUBARU.,6,0.01%
SUBAU,1,0.00%
Tesla,19117,36.28%
THINK,3,0.01%
Toyota,5330,10.12%
Vespa,5,0.01%
Volkswagen,953,1.81%
Volvo,2099,3.98%
Zero,1,0.00%
Zero Motorcycles Inc,39,0.07%
ZIGGY,2,0.00%
Zong,1,0.00%
ZONGSHEN/CSC MOTORCYCLES,2,0.00%
Grand Total,"52,691",
