,PHEV,BEV,FCEV,eMC,Grand Total,,,,,,,,,,,
7/1/2014,"1,723",621,0,ND,"2,344",,,,,,,,,,,
9/14/2016,"3,066","1,811",1,ND,"4,878",,,,,,,,,,,
9/1/2017,"3,549","2,371",3,ND,"5,923",,,,,,,,,,,
9/24/2018,"4,705","3,280",2,ND,"7,987",,,,,,,,,,,
12/31/2018,"5,063","4,208",2,16,"9,289",,,,,,,,,,,
7/1/2019,"5,220","5,099",2,18,"10,339",,,,,,,,,,,
12/31/2019,"5,480","6,172",3,22,"11,677",,,,,,,,,,,
7/1/2020,"5,722","6,874",3,25,"12,624",,,,,,,,,,,
12/31/2020,"5,893","7,880",3,24,"13,800",,,,,,,,,,,
7/1/2021,"7,321","9,861",3,32,"17,217",,,,,,,,,,,
12/31/2021,"8,827","12,513",3,34,"21,377",,,,,,,,,,,
7/1/2022,"10,126","15,268",6,44,"25,444",,,,,,,,,,,
12/31/2022,"11,615","18,509",5,57,"30,186",,,,,,,,,,,
7/1/2023,"13,510","22,695",3,61,"36,269",,,,,,,,,,,
12/31/2023,"16,517","27,709",3,84,"44,313",,,,,,,,,,,
7/1/2024,"19,211","33,386",3,91,"52,691",,,,,,,,,,,
